state,county,candidate,party,total_votes
Louisiana,Terrebonne Parish,Antoine Pierce,DEM,700
Louisiana,Terrebonne Parish,Beryl Billiot,NPA,686
Louisiana,Terrebonne Parish,Drew Knight,DEM,575
Louisiana,Terrebonne Parish,John Paul Bourgeois,NPA,368
Louisiana,Terrebonne Parish,Peter Wenstrup,DEM,225
Louisiana,Terrebonne Parish,Aaron Sigler,LIB,214
Louisiana,Terrebonne Parish,Vinny Mendoza,IND,159
Louisiana,Terrebonne Parish,Melinda Price,ASP,151
Louisiana,Terrebonne Parish,Reno Daret,NPA,80
Louisiana,Terrebonne Parish,Jamar Montgomery,NPA,65
Louisiana,Terrebonne Parish,Xan John,IND,54
Louisiana,Union Parish,Adrian Perkins,DEM,949
Louisiana,Union Parish,Derrick Edwards,DEM,785
Louisiana,Union Parish,Dustin Murphy,REP,352
Louisiana,Union Parish,Drew Knight,DEM,161
Louisiana,Union Parish,Antoine Pierce,DEM,137
Louisiana,Union Parish,Beryl Billiot,NPA,75
Louisiana,Union Parish,John Paul Bourgeois,NPA,63
Louisiana,Union Parish,Peter Wenstrup,DEM,55
Louisiana,Union Parish,Melinda Price,ASP,32
Louisiana,Union Parish,Aaron Sigler,LIB,27
Louisiana,Union Parish,Vinny Mendoza,IND,24
Louisiana,Union Parish,Jamar Montgomery,NPA,23
Louisiana,Union Parish,Reno Daret,NPA,21
Louisiana,Union Parish,Xan John,IND,16
Louisiana,Vermilion Parish,Adrian Perkins,DEM,1828
Louisiana,Vermilion Parish,Derrick Edwards,DEM,1415
Louisiana,Vermilion Parish,Dustin Murphy,REP,612
Louisiana,Vermilion Parish,Antoine Pierce,DEM,312
Louisiana,Vermilion Parish,John Paul Bourgeois,NPA,279
Louisiana,Vermilion Parish,Drew Knight,DEM,250
Louisiana,Vermilion Parish,Jamar Montgomery,NPA,198
Louisiana,Vermilion Parish,Beryl Billiot,NPA,186
Louisiana,Vermilion Parish,Aaron Sigler,LIB,110
Louisiana,Vermilion Parish,Peter Wenstrup,DEM,105
Louisiana,Vermilion Parish,Melinda Price,ASP,74
Louisiana,Vermilion Parish,Vinny Mendoza,IND,73
Louisiana,Vermilion Parish,Xan John,IND,51
Louisiana,Vermilion Parish,Reno Daret,NPA,44
Louisiana,Vernon Parish,Derrick Edwards,DEM,1177
Louisiana,Vernon Parish,Adrian Perkins,DEM,794
Louisiana,Vernon Parish,Dustin Murphy,REP,630
Louisiana,Vernon Parish,Drew Knight,DEM,214
Louisiana,Vernon Parish,Antoine Pierce,DEM,200
Louisiana,Vernon Parish,Beryl Billiot,NPA,129
Louisiana,Vernon Parish,Aaron Sigler,LIB,117
Louisiana,Vernon Parish,John Paul Bourgeois,NPA,91
Louisiana,Vernon Parish,Peter Wenstrup,DEM,74
Louisiana,Vernon Parish,Vinny Mendoza,IND,70
Louisiana,Vernon Parish,Melinda Price,ASP,54
Louisiana,Vernon Parish,Reno Daret,NPA,25
Louisiana,Vernon Parish,Jamar Montgomery,NPA,25
Louisiana,Vernon Parish,Xan John,IND,18
Louisiana,Washington Parish,Adrian Perkins,DEM,2386
Louisiana,Washington Parish,Derrick Edwards,DEM,1896
Louisiana,Washington Parish,Dustin Murphy,REP,372
Louisiana,Washington Parish,Drew Knight,DEM,367
Louisiana,Washington Parish,Antoine Pierce,DEM,267
Louisiana,Washington Parish,Beryl Billiot,NPA,190
Louisiana,Washington Parish,Peter Wenstrup,DEM,123
Louisiana,Washington Parish,Melinda Price,ASP,113
Louisiana,Washington Parish,Jamar Montgomery,NPA,110
Louisiana,Washington Parish,John Paul Bourgeois,NPA,108
Louisiana,Washington Parish,Vinny Mendoza,IND,58
Louisiana,Washington Parish,Aaron Sigler,LIB,57
Louisiana,Washington Parish,Reno Daret,NPA,44
Louisiana,Washington Parish,Xan John,IND,20
Louisiana,Webster Parish,Adrian Perkins,DEM,4079
Louisiana,Webster Parish,Derrick Edwards,DEM,1035
Louisiana,Webster Parish,Dustin Murphy,REP,386
Louisiana,Webster Parish,Drew Knight,DEM,202
Louisiana,Webster Parish,Antoine Pierce,DEM,162
Louisiana,Webster Parish,John Paul Bourgeois,NPA,123
Louisiana,Webster Parish,Beryl Billiot,NPA,100
Louisiana,Webster Parish,Peter Wenstrup,DEM,60
Louisiana,Webster Parish,Aaron Sigler,LIB,55
Louisiana,Webster Parish,Vinny Mendoza,IND,40
Louisiana,Webster Parish,Reno Daret,NPA,37
Louisiana,Webster Parish,Melinda Price,ASP,31
Louisiana,Webster Parish,Jamar Montgomery,NPA,23
Louisiana,Webster Parish,Xan John,IND,13
Louisiana,West Baton Rouge Parish,Adrian Perkins,DEM,2827
Louisiana,West Baton Rouge Parish,Derrick Edwards,DEM,1821
Louisiana,West Baton Rouge Parish,Antoine Pierce,DEM,384
Louisiana,West Baton Rouge Parish,Drew Knight,DEM,239
Louisiana,West Baton Rouge Parish,Dustin Murphy,REP,173
Louisiana,West Baton Rouge Parish,Beryl Billiot,NPA,101
Louisiana,West Baton Rouge Parish,John Paul Bourgeois,NPA,90
Louisiana,West Baton Rouge Parish,Peter Wenstrup,DEM,57
Louisiana,West Baton Rouge Parish,Aaron Sigler,LIB,51
Louisiana,West Baton Rouge Parish,Vinny Mendoza,IND,48
Louisiana,West Baton Rouge Parish,Melinda Price,ASP,39
Louisiana,West Baton Rouge Parish,Jamar Montgomery,NPA,34
Louisiana,West Baton Rouge Parish,Reno Daret,NPA,27
Louisiana,West Baton Rouge Parish,Xan John,IND,16
Louisiana,West Carroll Parish,Adrian Perkins,DEM,274
Louisiana,West Carroll Parish,Derrick Edwards,DEM,198
Louisiana,West Carroll Parish,Dustin Murphy,REP,188
Louisiana,West Carroll Parish,Drew Knight,DEM,45
Louisiana,West Carroll Parish,John Paul Bourgeois,NPA,27
Louisiana,West Carroll Parish,Beryl Billiot,NPA,25
Louisiana,West Carroll Parish,Antoine Pierce,DEM,24
Louisiana,West Carroll Parish,Peter Wenstrup,DEM,14
Louisiana,West Carroll Parish,Reno Daret,NPA,11
Louisiana,West Carroll Parish,Melinda Price,ASP,8
Louisiana,West Carroll Parish,Aaron Sigler,LIB,7
Louisiana,West Carroll Parish,Xan John,IND,5
Louisiana,West Carroll Parish,Vinny Mendoza,IND,4
Louisiana,West Carroll Parish,Jamar Montgomery,NPA,2
Louisiana,West Feliciana Parish,Adrian Perkins,DEM,1017
Louisiana,West Feliciana Parish,Derrick Edwards,DEM,670
Louisiana,West Feliciana Parish,Antoine Pierce,DEM,117
Louisiana,West Feliciana Parish,Dustin Murphy,REP,84
Louisiana,West Feliciana Parish,Drew Knight,DEM,78
Louisiana,West Feliciana Parish,Beryl Billiot,NPA,52
Louisiana,West Feliciana Parish,John Paul Bourgeois,NPA,51
Louisiana,West Feliciana Parish,Peter Wenstrup,DEM,33
Louisiana,West Feliciana Parish,Aaron Sigler,LIB,25
Louisiana,West Feliciana Parish,Vinny Mendoza,IND,15
Louisiana,West Feliciana Parish,Melinda Price,ASP,13
Louisiana,West Feliciana Parish,Reno Daret,NPA,12
Louisiana,West Feliciana Parish,Xan John,IND,6
Louisiana,West Feliciana Parish,Jamar Montgomery,NPA,6
Louisiana,Winn Parish,Adrian Perkins,DEM,560
Louisiana,Winn Parish,Derrick Edwards,DEM,458
Louisiana,Winn Parish,Dustin Murphy,REP,165
Louisiana,Winn Parish,Drew Knight,DEM,71
Louisiana,Winn Parish,Antoine Pierce,DEM,69
Louisiana,Winn Parish,Beryl Billiot,NPA,54
Louisiana,Winn Parish,Peter Wenstrup,DEM,53
Louisiana,Winn Parish,John Paul Bourgeois,NPA,39
Louisiana,Winn Parish,Melinda Price,ASP,22
Louisiana,Winn Parish,Aaron Sigler,LIB,19
Louisiana,Winn Parish,Vinny Mendoza,IND,17
Louisiana,Winn Parish,Reno Daret,NPA,16
Louisiana,Winn Parish,Jamar Montgomery,NPA,14
Louisiana,Winn Parish,Xan John,IND,3
Maine,Aroostook Cty Townships,Sara Gideon,DEM,96
Maine,Aroostook Cty Townships,Lisa Savage,IND,11
Maine,Aroostook Cty Townships,Max Linn,IND,8
Maine,Aroostook Cty Townships, Write-ins,WRI,0
Maine,Franklin Cty Townships,Susan Collins,REP,23
Maine,Franklin Cty Townships,Lisa Savage,IND,3
Maine,Franklin Cty Townships,Max Linn,IND,0
Maine,Franklin Cty Townships, Write-ins,WRI,0
Maine,Hancock Cty Townships,Susan Collins,REP,5
Maine,Hancock Cty Townships,Lisa Savage,IND,2
Maine,Hancock Cty Townships,Max Linn,IND,1
Maine,Hancock Cty Townships, Write-ins,WRI,0
Maine,Oxford Cty Townships,Sara Gideon,DEM,116
Maine,Oxford Cty Townships,Lisa Savage,IND,21
Maine,Oxford Cty Townships,Max Linn,IND,4
Maine,Oxford Cty Townships, Write-ins,WRI,0
Maine,Penobscot Cty Townships,Sara Gideon,DEM,112
Maine,Penobscot Cty Townships,Lisa Savage,IND,16
Maine,Penobscot Cty Townships,Max Linn,IND,15
Maine,Penobscot Cty Townships, Write-ins,WRI,0
Maine,Piscataquis Cty Townshps,Sara Gideon,DEM,21
Maine,Piscataquis Cty Townshps,Max Linn,IND,0
Maine,Piscataquis Cty Townshps,Lisa Savage,IND,0
Maine,Piscataquis Cty Townshps, Write-ins,WRI,0
Maine,Somerset Cty Townships,Sara Gideon,DEM,48
Maine,Somerset Cty Townships,Lisa Savage,IND,6
Maine,Somerset Cty Townships,Max Linn,IND,4
Maine,Somerset Cty Townships, Write-ins,WRI,0
Maine,Washington Cty Townships,Sara Gideon,DEM,7
Maine,Washington Cty Townships,Max Linn,IND,0
Maine,Washington Cty Townships,Lisa Savage,IND,0
Maine,Washington Cty Townships, Write-ins,WRI,0
Maine,Indian Township Vtng Dst,Susan Collins,REP,92
Maine,Indian Township Vtng Dst,Max Linn,IND,7
Maine,Indian Township Vtng Dst,Lisa Savage,IND,6
Maine,Indian Township Vtng Dst, Write-ins,WRI,0
Maine,Oxbow Plt.,Sara Gideon,DEM,8
Maine,Oxbow Plt.,Lisa Savage,IND,2
Maine,Oxbow Plt.,Max Linn,IND,1
Maine,Oxbow Plt., Write-ins,WRI,0
Maine,Pleasant Point Votng Dst,Susan Collins,REP,65
Maine,Pleasant Point Votng Dst,Lisa Savage,IND,12
Maine,Pleasant Point Votng Dst,Max Linn,IND,2
Maine,Pleasant Point Votng Dst, Write-ins,WRI,0
Maine,Auburn,Sara Gideon,DEM,5213
Maine,Auburn,Lisa Savage,IND,578
Maine,Auburn,Max Linn,IND,250
Maine,Auburn, Write-ins,WRI,2
Maine,Durham,Sara Gideon,DEM,1031
Maine,Durham,Lisa Savage,IND,162
Maine,Durham,Max Linn,IND,39
Maine,Durham, Write-ins,WRI,0
Maine,Greene,Sara Gideon,DEM,683
Maine,Greene,Lisa Savage,IND,92
Maine,Greene,Max Linn,IND,38
Maine,Greene, Write-ins,WRI,0
Maine,Leeds,Sara Gideon,DEM,392
Maine,Leeds,Lisa Savage,IND,52
Maine,Leeds,Max Linn,IND,22
Maine,Leeds, Write-ins,WRI,0
Maine,Lewiston,Sara Gideon,DEM,8006
Maine,Lewiston,Lisa Savage,IND,692
Maine,Lewiston,Max Linn,IND,301
Maine,Lewiston, Write-ins,WRI,0
Maine,Lisbon,Sara Gideon,DEM,1743
Maine,Lisbon,Lisa Savage,IND,253
Maine,Lisbon,Max Linn,IND,122
Maine,Lisbon, Write-ins,WRI,0
Maine,Livermore,Sara Gideon,DEM,449
Maine,Livermore,Lisa Savage,IND,33
Maine,Livermore,Max Linn,IND,14
Maine,Livermore, Write-ins,WRI,0
Maine,Livermore Falls,Sara Gideon,DEM,459
Maine,Livermore Falls,Lisa Savage,IND,65
Maine,Livermore Falls,Max Linn,IND,31
Maine,Livermore Falls, Write-ins,WRI,0
Maine,Mechanic Falls,Sara Gideon,DEM,506
Maine,Mechanic Falls,Lisa Savage,IND,82
Maine,Mechanic Falls,Max Linn,IND,52
Maine,Mechanic Falls, Write-ins,WRI,0
Maine,Minot,Sara Gideon,DEM,515
Maine,Minot,Lisa Savage,IND,60
Maine,Minot,Max Linn,IND,26
Maine,Minot, Write-ins,WRI,0
Maine,Poland,Sara Gideon,DEM,1154
Maine,Poland,Lisa Savage,IND,135
Maine,Poland,Max Linn,IND,53
Maine,Poland, Write-ins,WRI,0
Maine,Sabattus,Sara Gideon,DEM,834
Maine,Sabattus,Lisa Savage,IND,102
Maine,Sabattus,Max Linn,IND,66
Maine,Sabattus, Write-ins,WRI,0
Maine,Turner,Sara Gideon,DEM,1003
Maine,Turner,Lisa Savage,IND,111
Maine,Turner,Max Linn,IND,60
Maine,Turner, Write-ins,WRI,0
Maine,Wales,Sara Gideon,DEM,193
Maine,Wales,Lisa Savage,IND,21
Maine,Wales,Max Linn,IND,16
Maine,Wales, Write-ins,WRI,0
Maine,Allagash,Sara Gideon,DEM,66
Maine,Allagash,Lisa Savage,IND,5
Maine,Allagash,Max Linn,IND,3
Maine,Allagash, Write-ins,WRI,0
Maine,Amity,Sara Gideon,DEM,24
Maine,Amity,Max Linn,IND,5
Maine,Amity,Lisa Savage,IND,0
Maine,Amity, Write-ins,WRI,0
Maine,Ashland,Sara Gideon,DEM,145
Maine,Ashland,Lisa Savage,IND,23
Maine,Ashland,Max Linn,IND,15
Maine,Ashland, Write-ins,WRI,0
Maine,Blaine,Sara Gideon,DEM,53
Maine,Blaine,Max Linn,IND,12
Maine,Blaine,Lisa Savage,IND,9
Maine,Blaine, Write-ins,WRI,0
Maine,Bridgewater,Sara Gideon,DEM,52
Maine,Bridgewater,Lisa Savage,IND,7
Maine,Bridgewater,Max Linn,IND,1
Maine,Bridgewater, Write-ins,WRI,0
Maine,Caribou,Sara Gideon,DEM,978
Maine,Caribou,Lisa Savage,IND,123
Maine,Caribou,Max Linn,IND,74
Maine,Caribou, Write-ins,WRI,0
Maine,Cary Plt.,Sara Gideon,DEM,0
Maine,Cary Plt.,Max Linn,IND,0
Maine,Cary Plt.,Lisa Savage,IND,0
Maine,Cary Plt., Write-ins,WRI,0
Maine,Castle Hill,Sara Gideon,DEM,63
Maine,Castle Hill,Lisa Savage,IND,8
Maine,Castle Hill,Max Linn,IND,3
Maine,Castle Hill, Write-ins,WRI,0
Maine,Caswell,Sara Gideon,DEM,46
Maine,Caswell,Max Linn,IND,1
Maine,Caswell,Lisa Savage,IND,1
Maine,Caswell, Write-ins,WRI,0
Maine,Chapman,Sara Gideon,DEM,71
Maine,Chapman,Max Linn,IND,11
Maine,Chapman,Lisa Savage,IND,3
Maine,Chapman, Write-ins,WRI,0
Maine,Crystal,Sara Gideon,DEM,23
Maine,Crystal,Lisa Savage,IND,10
Maine,Crystal,Max Linn,IND,2
Maine,Crystal, Write-ins,WRI,0
Maine,Cyr Plt.,Sara Gideon,DEM,17
Maine,Cyr Plt.,Max Linn,IND,2
Maine,Cyr Plt.,Lisa Savage,IND,0
Maine,Cyr Plt., Write-ins,WRI,0
Maine,Dyer Brook,Sara Gideon,DEM,31
Maine,Dyer Brook,Max Linn,IND,4
Maine,Dyer Brook,Lisa Savage,IND,3
Maine,Dyer Brook, Write-ins,WRI,0
Maine,Eagle Lake,Sara Gideon,DEM,143
Maine,Eagle Lake,Max Linn,IND,17
Maine,Eagle Lake,Lisa Savage,IND,15
Maine,Eagle Lake, Write-ins,WRI,0
Maine,Easton,Sara Gideon,DEM,163
Maine,Easton,Lisa Savage,IND,23
Maine,Easton,Max Linn,IND,15
Maine,Easton, Write-ins,WRI,0
Maine,Fort Fairfield,Sara Gideon,DEM,475
Maine,Fort Fairfield,Lisa Savage,IND,56
Maine,Fort Fairfield,Max Linn,IND,38
Maine,Fort Fairfield, Write-ins,WRI,2
Maine,Fort Kent,Sara Gideon,DEM,807
Maine,Fort Kent,Lisa Savage,IND,78
Maine,Fort Kent,Max Linn,IND,34
Maine,Fort Kent, Write-ins,WRI,0
Maine,Frenchville,Sara Gideon,DEM,202
Maine,Frenchville,Max Linn,IND,14
Maine,Frenchville,Lisa Savage,IND,11
Maine,Frenchville, Write-ins,WRI,0
Maine,Garfield Plt.,Sara Gideon,DEM,6
Maine,Garfield Plt.,Max Linn,IND,4
Maine,Garfield Plt.,Lisa Savage,IND,1
Maine,Garfield Plt., Write-ins,WRI,0
Maine,Glenwood Plt.,Sara Gideon,DEM,0
Maine,Glenwood Plt.,Max Linn,IND,0
Maine,Glenwood Plt.,Lisa Savage,IND,0
Maine,Glenwood Plt., Write-ins,WRI,0
Maine,Grand Isle,Sara Gideon,DEM,87
Maine,Grand Isle,Max Linn,IND,6
Maine,Grand Isle,Lisa Savage,IND,3
Maine,Grand Isle, Write-ins,WRI,0
Maine,Hamlin,Sara Gideon,DEM,28
Maine,Hamlin,Lisa Savage,IND,4
Maine,Hamlin,Max Linn,IND,0
Maine,Hamlin, Write-ins,WRI,0
Maine,Hammond,Sara Gideon,DEM,13
Maine,Hammond,Max Linn,IND,0
Maine,Hammond,Lisa Savage,IND,0
Maine,Hammond, Write-ins,WRI,0
Maine,Haynesville,Sara Gideon,DEM,9
Maine,Haynesville,Max Linn,IND,3
Maine,Haynesville,Lisa Savage,IND,2
Maine,Haynesville, Write-ins,WRI,0
Maine,Hersey,Sara Gideon,DEM,8
Maine,Hersey,Lisa Savage,IND,1
Maine,Hersey,Max Linn,IND,0
Maine,Hersey, Write-ins,WRI,0
Maine,Hodgdon,Sara Gideon,DEM,127
Maine,Hodgdon,Lisa Savage,IND,28
Maine,Hodgdon,Max Linn,IND,22
Maine,Hodgdon, Write-ins,WRI,0
Maine,Houlton,Sara Gideon,DEM,732
Maine,Houlton,Lisa Savage,IND,82
Maine,Houlton,Max Linn,IND,65
Maine,Houlton, Write-ins,WRI,1
Maine,Island Falls,Sara Gideon,DEM,96
Maine,Island Falls,Lisa Savage,IND,19
Maine,Island Falls,Max Linn,IND,7
Maine,Island Falls, Write-ins,WRI,0
Maine,Limestone,Sara Gideon,DEM,224
Maine,Limestone,Lisa Savage,IND,15
Maine,Limestone,Max Linn,IND,11
Maine,Limestone, Write-ins,WRI,0
Maine,Linneus,Sara Gideon,DEM,61
Maine,Linneus,Max Linn,IND,11
Maine,Linneus,Lisa Savage,IND,4
Maine,Linneus, Write-ins,WRI,0
Maine,Littleton,Sara Gideon,DEM,98
Maine,Littleton,Max Linn,IND,18
Maine,Littleton,Lisa Savage,IND,18
Maine,Littleton, Write-ins,WRI,0
Maine,Ludlow,Sara Gideon,DEM,56
Maine,Ludlow,Lisa Savage,IND,9
Maine,Ludlow,Max Linn,IND,2
Maine,Ludlow, Write-ins,WRI,0
Maine,Macwahoc Plt.,Sara Gideon,DEM,8
Maine,Macwahoc Plt.,Max Linn,IND,3
Maine,Macwahoc Plt.,Lisa Savage,IND,0
Maine,Macwahoc Plt., Write-ins,WRI,0
Maine,Madawaska,Sara Gideon,DEM,894
Maine,Madawaska,Lisa Savage,IND,65
Maine,Madawaska,Max Linn,IND,42
Maine,Madawaska, Write-ins,WRI,0
Maine,Mapleton,Sara Gideon,DEM,275
Maine,Mapleton,Lisa Savage,IND,35
Maine,Mapleton,Max Linn,IND,18
Maine,Mapleton, Write-ins,WRI,0
Maine,Mars Hill,Sara Gideon,DEM,139
Maine,Mars Hill,Lisa Savage,IND,24
Maine,Mars Hill,Max Linn,IND,14
Maine,Mars Hill, Write-ins,WRI,0
Maine,Masardis,Sara Gideon,DEM,25
Maine,Masardis,Max Linn,IND,4
Maine,Masardis,Lisa Savage,IND,1
Maine,Masardis, Write-ins,WRI,0
Maine,Merrill,Sara Gideon,DEM,22
Maine,Merrill,Max Linn,IND,5
Maine,Merrill,Lisa Savage,IND,2
Maine,Merrill, Write-ins,WRI,0
Maine,Monticello,Sara Gideon,DEM,62
Maine,Monticello,Max Linn,IND,13
Maine,Monticello,Lisa Savage,IND,10
Maine,Monticello, Write-ins,WRI,0
Maine,Moro Plt.,Sara Gideon,DEM,0
Maine,Moro Plt.,Max Linn,IND,0
Maine,Moro Plt.,Lisa Savage,IND,0
Maine,Moro Plt., Write-ins,WRI,0
Maine,Nashville Plt.,Sara Gideon,DEM,4
Maine,Nashville Plt.,Lisa Savage,IND,3
Maine,Nashville Plt.,Max Linn,IND,0
Maine,Nashville Plt., Write-ins,WRI,0
Maine,New Canada,Sara Gideon,DEM,54
Maine,New Canada,Max Linn,IND,3
Maine,New Canada,Lisa Savage,IND,2
Maine,New Canada, Write-ins,WRI,0
Maine,New Limerick,Sara Gideon,DEM,77
Maine,New Limerick,Max Linn,IND,8
Maine,New Limerick,Lisa Savage,IND,5
Maine,New Limerick, Write-ins,WRI,0
Maine,New Sweden,Sara Gideon,DEM,110
Maine,New Sweden,Lisa Savage,IND,11
Maine,New Sweden,Max Linn,IND,10
Maine,New Sweden, Write-ins,WRI,0
Maine,Oakfield,Sara Gideon,DEM,78
Maine,Oakfield,Max Linn,IND,14
Maine,Oakfield,Lisa Savage,IND,6
Maine,Oakfield, Write-ins,WRI,0
Maine,Orient,Sara Gideon,DEM,22
Maine,Orient,Max Linn,IND,4
Maine,Orient,Lisa Savage,IND,1
Maine,Orient, Write-ins,WRI,0
Maine,Penobscot Nation Vot Dst,Susan Collins,REP,68
Maine,Penobscot Nation Vot Dst,Lisa Savage,IND,24
Maine,Penobscot Nation Vot Dst,Max Linn,IND,6
Maine,Penobscot Nation Vot Dst, Write-ins,WRI,0
Maine,Perham,Sara Gideon,DEM,36
Maine,Perham,Max Linn,IND,9
Maine,Perham,Lisa Savage,IND,5
Maine,Perham, Write-ins,WRI,0
Maine,Portage Lake,Sara Gideon,DEM,60
Maine,Portage Lake,Lisa Savage,IND,9
Maine,Portage Lake,Max Linn,IND,3
Maine,Portage Lake, Write-ins,WRI,0
Maine,Presque Isle,Sara Gideon,DEM,1319
Maine,Presque Isle,Lisa Savage,IND,145
Maine,Presque Isle,Max Linn,IND,78
Maine,Presque Isle, Write-ins,WRI,0
Maine,Reed Plt.,Sara Gideon,DEM,11
Maine,Reed Plt.,Lisa Savage,IND,2
Maine,Reed Plt.,Max Linn,IND,1
Maine,Reed Plt., Write-ins,WRI,0
Maine,Saint Agatha,Sara Gideon,DEM,222
Maine,Saint Agatha,Lisa Savage,IND,18
Maine,Saint Agatha,Max Linn,IND,9
Maine,Saint Agatha, Write-ins,WRI,0
Maine,St. Francis,Sara Gideon,DEM,99
Maine,St. Francis,Lisa Savage,IND,8
Maine,St. Francis,Max Linn,IND,2
Maine,St. Francis, Write-ins,WRI,0
Maine,St. John Plt.,Sara Gideon,DEM,54
Maine,St. John Plt.,Max Linn,IND,4
Maine,St. John Plt.,Lisa Savage,IND,3
Maine,St. John Plt., Write-ins,WRI,0
Maine,Sherman,Sara Gideon,DEM,97
Maine,Sherman,Lisa Savage,IND,19
Maine,Sherman,Max Linn,IND,14
Maine,Sherman, Write-ins,WRI,0
Maine,Smyrna,Sara Gideon,DEM,28
Maine,Smyrna,Lisa Savage,IND,4
Maine,Smyrna,Max Linn,IND,3
Maine,Smyrna, Write-ins,WRI,0
Maine,Stockholm,Sara Gideon,DEM,27
Maine,Stockholm,Lisa Savage,IND,11
Maine,Stockholm,Max Linn,IND,5
Maine,Stockholm, Write-ins,WRI,0
Maine,Van Buren,Sara Gideon,DEM,320
Maine,Van Buren,Lisa Savage,IND,33
Maine,Van Buren,Max Linn,IND,15
Maine,Van Buren, Write-ins,WRI,0
Maine,Wade,Sara Gideon,DEM,37
Maine,Wade,Lisa Savage,IND,7
Maine,Wade,Max Linn,IND,3
Maine,Wade, Write-ins,WRI,0
Maine,Wallagrass,Sara Gideon,DEM,126
Maine,Wallagrass,Lisa Savage,IND,6
Maine,Wallagrass,Max Linn,IND,3
Maine,Wallagrass, Write-ins,WRI,0
Maine,Washburn,Sara Gideon,DEM,202
Maine,Washburn,Lisa Savage,IND,28
Maine,Washburn,Max Linn,IND,21
Maine,Washburn, Write-ins,WRI,0
Maine,Westfield,Sara Gideon,DEM,63
Maine,Westfield,Lisa Savage,IND,11
Maine,Westfield,Max Linn,IND,8
Maine,Westfield, Write-ins,WRI,0
Maine,Westmanland,Sara Gideon,DEM,19
Maine,Westmanland,Lisa Savage,IND,4
Maine,Westmanland,Max Linn,IND,0
Maine,Westmanland, Write-ins,WRI,0
Maine,Weston,Sara Gideon,DEM,49
Maine,Weston,Max Linn,IND,5
Maine,Weston,Lisa Savage,IND,1
Maine,Weston, Write-ins,WRI,0
Maine,Winterville Plt.,Sara Gideon,DEM,42
Maine,Winterville Plt.,Lisa Savage,IND,4
Maine,Winterville Plt.,Max Linn,IND,3
Maine,Winterville Plt., Write-ins,WRI,0
Maine,Woodland,Sara Gideon,DEM,161
Maine,Woodland,Lisa Savage,IND,15
Maine,Woodland,Max Linn,IND,10
Maine,Woodland, Write-ins,WRI,0
Maine,Baldwin,Sara Gideon,DEM,252
Maine,Baldwin,Lisa Savage,IND,33
Maine,Baldwin,Max Linn,IND,24
Maine,Baldwin, Write-ins,WRI,1
Maine,Bridgton,Sara Gideon,DEM,1346
Maine,Bridgton,Lisa Savage,IND,132
Maine,Bridgton,Max Linn,IND,50
Maine,Bridgton, Write-ins,WRI,0
Maine,Brunswick,Susan Collins,REP,4685
Maine,Brunswick,Lisa Savage,IND,850
Maine,Brunswick,Max Linn,IND,178
Maine,Brunswick, Write-ins,WRI,4
Maine,Cape Elizabeth,Susan Collins,REP,2155
Maine,Cape Elizabeth,Lisa Savage,IND,315
Maine,Cape Elizabeth,Max Linn,IND,38
Maine,Cape Elizabeth, Write-ins,WRI,0
Maine,Casco,Sara Gideon,DEM,816
Maine,Casco,Lisa Savage,IND,103
Maine,Casco,Max Linn,IND,48
Maine,Casco, Write-ins,WRI,1
Maine,Chebeague Island,Susan Collins,REP,102
Maine,Chebeague Island,Lisa Savage,IND,9
Maine,Chebeague Island,Max Linn,IND,3
Maine,Chebeague Island, Write-ins,WRI,0
Maine,Cumberland,Susan Collins,REP,2538
Maine,Cumberland,Lisa Savage,IND,247
Maine,Cumberland,Max Linn,IND,35
Maine,Cumberland, Write-ins,WRI,3
Maine,Falmouth,Susan Collins,REP,3657
Maine,Falmouth,Lisa Savage,IND,308
Maine,Falmouth,Max Linn,IND,49
Maine,Falmouth, Write-ins,WRI,3
Maine,Freeport,Susan Collins,REP,2141
Maine,Freeport,Lisa Savage,IND,285
Maine,Freeport,Max Linn,IND,47
Maine,Freeport, Write-ins,WRI,1
Maine,Frye Island,Sara Gideon,DEM,27
Maine,Frye Island,Lisa Savage,IND,1
Maine,Frye Island,Max Linn,IND,0
Maine,Frye Island, Write-ins,WRI,0
Maine,Gorham,Sara Gideon,DEM,5138
Maine,Gorham,Lisa Savage,IND,486
Maine,Gorham,Max Linn,IND,159
Maine,Gorham, Write-ins,WRI,2
Maine,Gray,Sara Gideon,DEM,2075
Maine,Gray,Lisa Savage,IND,257
Maine,Gray,Max Linn,IND,89
Maine,Gray, Write-ins,WRI,0
Maine,Harpswell,Susan Collins,REP,1741
Maine,Harpswell,Lisa Savage,IND,182
Maine,Harpswell,Max Linn,IND,26
Maine,Harpswell, Write-ins,WRI,1
Maine,Harrison,Sara Gideon,DEM,544
Maine,Harrison,Lisa Savage,IND,76
Maine,Harrison,Max Linn,IND,34
Maine,Harrison, Write-ins,WRI,0
Maine,Long Island,Susan Collins,REP,78
Maine,Long Island,Lisa Savage,IND,7
Maine,Long Island,Max Linn,IND,1
Maine,Long Island, Write-ins,WRI,0
Maine,Naples,Sara Gideon,DEM,844
Maine,Naples,Lisa Savage,IND,80
Maine,Naples,Max Linn,IND,55
Maine,Naples, Write-ins,WRI,0
Maine,New Gloucester,Sara Gideon,DEM,1372
Maine,New Gloucester,Lisa Savage,IND,163
Maine,New Gloucester,Max Linn,IND,51
Maine,New Gloucester, Write-ins,WRI,1
Maine,North Yarmouth,Susan Collins,REP,1303
